coll_nom;coll_siret;delib_id;delib_date;delib_matiere_code;delib_matiere_nom;delib_objet;instance_type;instance;delib_url;delib_theme_nom
TE44;20001492600030;CS-2025-069;2025-09-25;;Moyens géneraux;CS-2025-069 Annexe liste des véhicules et prix associés;Comité;Comité du Jeudi 25 Septembre 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EUDjB6yRtqFAhoTPYNk4-bIB7PINhAAvZuWV8kWHEXkFGw?e=7EvOyN;
TE44;20001492600030;BS-2025-021;2025-09-11;;Moyens géneraux;BS-2025-021 Remboursement de frais pris en charge par les agents;Bureau;Bureau du Jeudi 11 Septembre 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/ERuYzQKiKCpCsBjWzeNHb3EB5y6bNBHk0iS_6eeYshrv8A?e=peiJ61;
TE44;20001492600030;BS-2025-022;2025-09-11;;Commande Publique;BS-2025-022 Lancement d'un marché public de travaux Menuiseries Intérieures;Bureau;Bureau du Jeudi 11 Septembre 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/ESFUbGd2Y_xKgey_dwA2oRMBaI02D0fJZzFyrTL34JX1kQ?e=6a35da;commande publique
TE44;20001492600030;BS-2025-019;2025-08-28;;Ressources Humaines;BS-2025-019_Ouverture de 2 postes temporaires;Bureau;Bureau du Jeudi 28 Août 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EY5pdGLB_ENIsVZduBrcyjkBzkkWryrHhdQYD95KQLhPlA?e=j0CESp;
TE44;20001492600030;CS-2025-054 Annexe;2025-06-12;;Réseaux-Urbanisme;CS-2025-054 Annexe convention_VALADOE;Comité;Comité du Jeudi 12 Juin 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/ESYhPCkc8P9NvGr18jz6TR4BehSPmZGrMTIFLsOWOznkQQ?e=OOirOo;
TE44;20001492600030;CS-2025-026;2025-03-27;;Finances;CS-2025-026_Compte Administratif 2024_Budget TEN;Comité;Comité du Jeudi 27 Mars 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EfUXhQCxEqdDg1G35KYYxtQBRZ1T2O4RMJG78qUg3AOP_w?e=VaWzqw;
TE44;20001492600030;CS-2025-043;2025-03-27;;Production EnR;CS-2025-043_Enquête publique Centrale photovoltaïque Trignac;Comité;Comité du Jeudi 27 Mars 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EaFTHWQhmjxAl2z0MVh_1XgBzTmg-dLnYvhlZMe7rdHaww?e=cvMgCR;
TE44;20001492600030;CS-2025-028;2025-03-27;;Finances;CS-2025-028_Approbation du budget primitif 2025_Budget principal;Comité;Comité du Jeudi 27 Mars 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EcUn5WQ-Kj1KnMSE0_7LcvMBxAl2Y9J2RZ7Ye-KkLkI0Ng?e=hbhauK;
TE44;20001492600030;CS-2025-039;2025-03-27;;Ressources Humaines;CS-2025-039 Tableau des effectifs;Comité;Comité du Jeudi 27 Mars 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EZIAG-urOaxPihr2WUlFAKkBEVymbARp2I98a0auYmzLvw?e=i0l2bT;
TE44;20001492600030;CS-2025-025;2025-03-27;;Finances;CS-2025-025_Compte Administratif 2024_Budget IRVE;Comité;Comité du Jeudi 27 Mars 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EUcpKJpkBvdBtneVteARpCIB61K1hgebVtRD9kPcdw82sA?e=Ak1OLA;
TE44;20001492600030;CS-2025-006_Annexe;2025-02-13;;Finances;CS-2025-006_Annexe_Rapport d’Orientations Budgétaires 2025;Comité;Comité du Jeudi 13 Février 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/ESkGcAUd5AxJpeuzJF3DmM4B2dZKdhucZ-2YuHqBzbXkhQ?e=vqMa6e;
TE44;20001492600030;CS-2025-001;2025-02-13;;Affaires générales;CS-2025-001-Modification du nombre de Vice-Présidents;Comité;Comité du Jeudi 13 Février 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EUSGLjLkCBxJiQlgpshpK9UBpZLKSSmBbSIwBnn9yr-qQA?e=xW2bom;
TE44;20001492600030;CS-2025-012;2025-02-13;;Production EnR;CS-2025-012_Prise participation SEM EnR44;Comité;Comité du Jeudi 13 Février 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EY5IAXBIPrtCoGEYMpxh8dIBgANvnu-uSxMI0gT-Wbrh_Q?e=1e8QQr;
TE44;20001492600030;CS-2024-090;2024-12-12;;Finances;CS-2024-090 Décision Modificative n°3 – Budget annexe ICE 2024;Comité;Comité du Jeudi 12 Décembre 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EXrt5UDFwvlBsO0jG-pptRgBc0Whs09lW1PgmftW83b4ew?e=wOfXa8;
TE44;20001492600030;CS-2024-093;2024-12-12;;Finances;CS-2024-093 Règles financières : Barèmes raccordement électrique et adduction GC télécom;Comité;Comité du Jeudi 12 Décembre 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/ES67IW5LalNOs8KFsvHcaLEBh-lN_tONYFNCfsnSr-zpgg?e=BDZea0;
TE44;20001492600030;BS-2024-26-Annexe;2024-11-07;;Ressources Humaines;BS-2024-26 Annexe_Règlement intérieur de la formation;Bureau;Bureau du Jeudi 7 Novembre 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EWQp0AuOZilLuXa_DN3oucABzbnBFjfIUCEzr6fUKSvEbQ?e=WKu6hS;
TE44;20001492600030;BS-2024-24;2024-10-03;;Affaires générales;BS-2024-24 Lancement du marché public Assurance Dommages aux Biens;Bureau;Bureau du Jeudi 3 Octobre 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EXy4lBzKvylJq0NXvMVD6BABV2LD9816_GlDVTsH1P69MQ?e=gKjUX4;
TE44;20001492600030;CS-2024-082;2024-09-26;;Finances;CS-2024-082_Suppression du budget annexe TEN;Comité;Comité du Jeudi 26 Septembre 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/Ee7jKTU0GJNPvHfxjqZAPDsBNbL3tolXPkzpdeNxMyr1UA?e=6IfWi6;
TE44;20001492600030;CS-2024-074;2024-09-26;;Réseaux-Urbanisme;CS-2024-074_Nouvelles modalités de paiement liés aux programmes d'extension et branchement;Comité;Comité du Jeudi 26 Septembre 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EabW4hyWUXxPld9W9sD3mBEBxPRowXzbtnAwPnT4usFLXg?e=GOBDiw;règles financières
TE44;20001492600030;CS-2024-073;2024-09-26;;Réseaux-Urbanisme;CS-2024-073_Exonération partielle de pénalités – EIFFAGE;Comité;Comité du Jeudi 26 Septembre 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/Ea7a_RCic-JNgDE0m6jLG78B-uhcc8MvkJ6sTLVxTevWYg?e=lWYGLb;
TE44;20001492600030;CS-2024-072;2024-09-26;;Eclairage public;CS-2024-072_ASTRES44 – Mise en œuvre financière de nouvelles tranches;Comité;Comité du Jeudi 26 Septembre 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EURNK5u5o9NIv2NeIgGIwsYBP7KJ3XpagSzGy-yXaEdeBw?e=4htkgd;
TE44;20001492600030;BS-2024-20;2024-09-05;;Ressources Humaines;BS-2024-20 Remboursement de frais à un agent;Bureau;Bureau du Jeudi 5 Septembre 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EQ1wPqx6g0VHvsGG9PZJozgB3SKk5UvB1lDZ5NR41UP5cA?e=TiLt1N;
TE44;20001492600030;CS-2024-071;2024-08-29;;Réseaux-Urbanisme;CS-2024-071_Marché public de travaux de réseaux (2025-2028) – Modification des règles de priorisation d’attribution des lots;Comité;Comité du Jeudi 29 Août 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EZiUT7VoGzxGs62vLwPrvx0BCkb-i6iVs087lEHj2MGA6A?e=BmQ4nJ;commande publique
TE44;20001492600030;BS-2024-12;2024-06-20;;Ressources Humaines;BS-2024-12_Adoption des règles de temps partiel;Bureau;Bureau du Jeudi 20 Juin 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EVwTlDNPEp5Jj258_QJ5qlQBrInF3OhyPsr8ccVjsYDDxQ?e=ALrFWC;
TE44;20001492600030;CS-2024-059;2024-06-13;;Finances;CS-2024-059_Décision Modificative n.1 au budget annexe IRVE;Comité;Comité du Jeudi 13 Juin 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EWp_dy-D4MdLshTkmIana-0BX7tvKsbEqPuvsmsGF0P8bw?e=9E8aRN;
TE44;20001492600030;CS-2024-054;2024-06-13;;Maîtrise de l’énergie;CS-2024-054_Elargissement de l’expérimentation d’un service AMO Rénovation globale et construction de bâtiments;Comité;Comité du Jeudi 13 Juin 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/Ef98ZJcz3xVGokfOaD0l2qMBjdxXCGMFCP5qfb8RKsgNuQ?e=e3LFnw;
TE44;20001492600030;2024-012;2024-03-28;;Mobilité;2024-012 Schéma Directeur d'Infrastructures de Recharge pour Véhicules électriques;Comité;Comité du Jeudi 28 Mars 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EfEkIz-UjhRMpQnqTs3a89wBc5MI52bI4ak_eFn-cqlEmA?e=AfpXfw;
TE44;20001492600030;2024-016;2024-03-28;;Finances;2024-016_Compte de gestion 2023_Budget TEN;Comité;Comité du Jeudi 28 Mars 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EWufWQqiDgJPkO_zuyB7IIIBonVHzNXPYQ4WTJU-VUj_oQ?e=yZXsNx;
TE44;20001492600030;2024-032;2024-03-28;;Finances;2024-032_Nomenclature M57_Mise en place du mode de gestion des amortissements;Comité;Comité du Jeudi 28 Mars 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EdSuafZPHQxFl48HNHGykKIB-0KyoPrx-Oem09o949hJ7w?e=niPJXv;
TE44;20001492600030;2024-040;2024-03-28;;Ressources Humaines;2024-040 Ouverture poste de stagiaire;Comité;Comité du Jeudi 28 Mars 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EeFB0oJyN4VClI0fUoWPG-gBqX47rtzVdwdLMEObbVl2tA?e=LJT2ci;
TE44;20001492600030;2024-037;2024-03-28;;Ressources Humaines;2024-037 Tableau des effectifs;Comité;Comité du Jeudi 28 Mars 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EZY6ekWFwglMoeASlZ3YUkQBrsphog4CbLuVgzmnh2GYrA?e=Ful8Cb;
TE44;20001492600030;2024-030;2024-03-28;;Finances;2024-030_Subvention 2024 du budget principal au budget annexe TEN;Comité;Comité du Jeudi 28 Mars 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EXFG7V1zzRREhzbW_MencNQBqBo2-MPzXAB-7fMEV6SUaw?e=9W8vPd;
TE44;20001492600030;2024-034;2024-03-28;;Eclairage public;2024-034 Maintenance éclairage public_Niveau unique (1);Comité;Comité du Jeudi 28 Mars 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EQgEEtsu2zlHoUQH9iw6UwABAOZewtXIDWmBJ199eUc5ng?e=U5afPB;
TE44;20001492600030;2024-043;2024-03-28;;Maîtrise de l’énergie;2024-043_Annexe convention CEP_TE44_Saint-Nazaire Agglo;Comité;Comité du Jeudi 28 Mars 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EdrPse93N-tEpa6k6qYV-cMBWsVyZM5IJeVjcnkN5enBLA?e=RNdVZZ;
TE44;20001492600030;2024-049;2024-03-28;;Production EnR;2024-049 Annexe Adhésion Centrale d’achat Région des Hauts de France;Comité;Comité du Jeudi 28 Mars 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EV2v0rgJjfREsc6V6YLE90cBxHz1Q-m1QP7o2oIpQT6ktg?e=7xFIf3;
TE44;20001492600030;2024-033;2024-03-28;;Affaires générales;2024-033_ Délégations de compténces Président_Bureau;Comité;Comité du Jeudi 28 Mars 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/ERKTHHFz3jhPvndS9MwXqXABwYmWgOngiW85J-GufPcNzA?e=dylbEI;
TE44;20001492600030;2024-004A;2024-02-22;;Production EnR;2024-004A_Annexe_Projet de Convention cadre de partenariat Transition energétique;Comité;Comité du Jeudi 22 Février 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EQONsH3SgMBCoCIfnOGupLIBDtT3wcY15e7upg9vsvnXDA?e=Mw1AA0;
TE44;20001492600030;2024-006;2024-02-22;;Réseaux-Urbanisme;2024-006_Convention de rattachement d’ouvrages Vallons de l’Erdre_Vritz;Comité;Comité du Jeudi 22 Février 2024;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/ESQeofJuo5tCqNFA-CKCckYBBpvswJ-5pqVPyCcHTEprmQ?e=OInGCl;
TE44;20001492600030;2023-119;2023-12-14;;Finances;2023-119 Exonérations de pénalités_Marché de travaux;Comité;Comité du Jeudi 14 Décembre 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/ETZ2qstm-GdEvST2__EaWfYBVbbWpQVOO0wAP_PawZTX2A?e=eHTCrT;
TE44;20001492600030;2023-115;2023-12-14;;Finances;2023-115 Autorisation de dépenses avant vote budget 2024 (principal);Comité;Comité du Jeudi 14 Décembre 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EYSYRYDf6flPsWweBVSVTuQBhfkXshvG1fiWjfyOWNbPWg?e=uMfoU6;
TE44;20001492600030;2023-114;2023-12-14;;Finances;2023-114 Décision modificative n.3 Budget principal;Comité;Comité du Jeudi 14 Décembre 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EceG7U_nn95Jo-c0r3ravw8BBAHtWJIyJIO4_-1OdjQlzA?e=iCTpqw;
TE44;20001492600030;2023-101;2023-12-14;;Finances;2023-101 TICFE – Modalités de reversement aux communes à taux spéciaux;Comité;Comité du Jeudi 14 Décembre 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EVqTFxICxAhIvKFyvUNcVeUBtboRL0UpVEpIP7wIyn1r1w?e=hCMUiJ;
TE44;20001492600030;2023-108;2023-12-14;;Maîtrise de l’énergie;2023-108 Expérimentation AMO énergie;Comité;Comité du Jeudi 14 Décembre 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EZ0w6edhhp5BgcKsaMoyArABU--G-1D6G4BvBH-NyymivQ?e=gyqi2y;
TE44;20001492600030;15;2023-11-09;;Affaires générales;2023-15_Cession de matériel informatique;Bureau;Bureau du Jeudi 9 Novembre 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EYbFN8ojwftMiFA9u-Di1OgB0_VmmvktUyNSyXia-INnpQ?e=xOyJBq;
TE44;20001492600030;2023-76;2023-09-28;;Réseaux-Urbanisme;2023-76 Annexe 2 Modèle avenant inflation_Maintenance;Comité;Comité du Jeudi 28 Septembre 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/ESx_h4eELiRNuM9LSHU2kPMBxm33S_1NJ-rCW-9vVw5Eag?e=ixyMQQ;
TE44;20001492600030;2023-82;2023-09-28;;Affaires générales;2023-82 Annexe_Convention_partenariat_TE-CARENE_2023;Comité;Comité du Jeudi 28 Septembre 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EUS61HEYAthOv-g2BARNDnEB3sA-sP6b7gYs8af9xLZlrA?e=D3ASmr;
TE44;20001492600030;2023-81;2023-09-28;;Ressources Humaines;2023-81_Ouverture emploi temporaire_OSID;Comité;Comité du Jeudi 28 Septembre 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EYyxnvqmdT5Hkr2qss3DTrMBn1SAx9J84rj9TWx3928vlA?e=zZxyK3;
TE44;20001492600030;2023-65;2023-06-15;;Eclairage public;2023-65_Fonds vert : mise en place du projet de rénovation d'éclairage public;Comité;Comité du Jeudi 15 Juin 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EW3ARxOxnmVKpaBFcjfmtzABXRWvOs4NHM-yqiYxotulTg?e=BaqzKB;
TE44;20001492600030;2023-74;2023-06-15;;Ressources Humaines;2023-74_Annexe_régularisation astreintes service maintenance EP;Comité;Comité du Jeudi 15 Juin 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/Ecv8M6CGjLVEhAHthymYqIkB4R3gTV4SAFMeWAkaypGtxw?e=xWik1z;
TE44;20001492600030;2023-57;2023-06-15;;Affaires générales;2023-57_Annexe_SEM SYDELA Energie 44_ Rapport du CA 2022;Comité;Comité du Jeudi 15 Juin 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EfKxT6stFZxJmfa6c0OiSQUB5ZuboWmE2YAFGWGoYGMx-w?e=ijSfhT;
TE44;20001492600030;2023-53;2023-05-04;;Ressources Humaines;2023-53_Lancement du marché public titres restaurants;Comité;Comité du Jeudi 4 Mai 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EUhmg6SoiGpGpr0KNorsywYB-e0oUvKpqCOMIJmjxXxXoA?e=i4xyCE;commande publique
TE44;20001492600030;2023-45;2023-05-04;;Finances;2023-45_Décision Modificative n°1 Budget ICE;Comité;Comité du Jeudi 4 Mai 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EaM4oxn9ItZEt-wWKZM93UcBs6m36MM7-g7WBbplJQ8QiA?e=fXCkT3;
TE44;20001492600030;2023-21;2023-03-30;;Finances;2023-21_COMPTE DE GESTION 2022 - BUDGET ANNEXE TEN;Comité;Comité du Jeudi 30 Mars 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/Eebg8BHs1i1GvKUsYTFZ4_oBLx68w1JC8iI2MyULxrqUWA?e=a8a4gS;
TE44;20001492600030;2023-32 Annexe 11 Annexe 4;2023-03-30;;Réseaux-Urbanisme;2023-32 Annexe 11 Annexe 4;Comité;Comité du Jeudi 30 Mars 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQBnyqoG9wwXQ4G_8gmBiANtAdSYZodwwioeb5dvYfkGw2Q?e=xKRT7q;
TE44;20001492600030;2023-32 Annexe Convention Cadre Partenariat;2023-03-30;;Réseaux-Urbanisme;2023-32 Annexe Convention Cadre Partenariat;Comité;Comité du Jeudi 30 Mars 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQBxc27WQpbqRbowY-IN4GueATUVw8m-Q9Asg7r8aAdOSM4?e=w822yu;
TE44;20001492600030;2023-29;2023-03-30;;Finances;2023-29_Subvention 2023 du BUDGET PRINCIPAL AU BUDGET ANNEXE Mobilité;Comité;Comité du Jeudi 30 Mars 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EQhDGUNBQs1Bn-XXgWeS19ABXhmmuZ5aHG5y5LCeLMxlEg?e=4yxtLY;
TE44;20001492600030;2023-30;2023-03-30;;Finances;2023-30_Subvention 2023 du BUDGET PRINCIPAL AU BUDGET ANNEXE TEN;Comité;Comité du Jeudi 30 Mars 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EWGEUyhD56pEqSeOyIJe8e0BdBVzV1RWH-5iykFoO5WrcA?e=3gKfgG;
TE44;20001492600030;4;2023-02-02;;Affaires générales;2023-04_Embellissement des postes de transformation_attribution de subventions;Bureau;Bureau du Jeudi 2 Février 2023;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/Ef9nT2NkuQtElfzwtmnOYBABh20qhsSWLZUALoMovPNZ3Q?e=G5ZRLa;
TE44;20001492600030;2022-107;2022-12-15;;Finances;2022-107_Autorisation des dépenses avant vote budget 2023 (IRVE);Comité;Comité du Jeudi 15 Décembre 2022;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EX2XBexh6gBGsoupNscglYAB0eMhLeHFMTYKZiie9OudPQ?e=xKlnUK;
TE44;20001492600030;2022-108;2022-12-15;;Ressources Humaines;2022-108_Modification du tableau des effectifs;Comité;Comité du Jeudi 15 Décembre 2022;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EehrIM3cWrhOoJgRbxPwlCkBl2Q1kSAMwJX3hWjSKcaFKQ?e=5BUcEC;
TE44;20001492600030;2022-109;2022-12-15;;Ressources Humaines;2022-109_Ouverture d'un poste temporaire planification EnR;Comité;Comité du Jeudi 15 Décembre 2022;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EXqwD3U6V3NNs5G4Fms8otEBMyeb4yDaHzF0Mu70ad1r6w?e=wtmhjl;
TE44;20001492600030;2022-98;2022-12-15;;Réseaux-Urbanisme;2022-98 Annexe projet Protocole transactionnel;Comité;Comité du Jeudi 15 Décembre 2022;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EQ6kPawNq_VBmzcYhGWN5BgB8D7uiIBElkoRNqyFAUO38Q?e=hrGTSb;
TE44;20001492600030;2022-95;2022-11-17;;Ressources Humaines;2022-95_Indemnités de fonction des élus_Modificatif;Comité;Comité du Jeudi 17 Novembre 2022;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EW6BYfj_iBZHuUW_9rb7X-oBMXiUCKFJusFEUt-TVL2zhQ?e=7RC0pk;
TE44;20001492600030;2022-90;2022-11-17;;Production EnR;2022-90_Programme d'accompagnement planification EnR;Comité;Comité du Jeudi 17 Novembre 2022;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/ERij0-Pj8m1Cu4QufWO130UB9VJDQobUro_EANXTJzRbjA?e=PEp6Wf;
TE44;20001492600030;CS-2026-015;2026-02-26;;Production EnR;CS-2026-015_Partenariat EPV_Smartcore;Comité;Comité du Jeudi 26 Février 2026;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQAyhvSSPGg4QrXh6GRVScJxAQWI8AM3ubzyJWTPcyVCkts?e=zKza4m;
TE44;20001492600030;2022-80;2022-09-21;;Ressources Humaines;2022-80_Prolongation d'un poste en contrat de projet;Comité;Comité du Mercredi 21 Septembre 2022;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EWRS0NxDJtBEjoS5brcaD7UBoLPBIbQ6ggEL4DYHvuXR6A?e=xKFUJv;
TE44;20001492600030;CS-2026-019;2026-02-26;;Moyens géneraux;CS-2026-019_Flotte automobile TE44 - Cession;Comité;Comité du Jeudi 26 Février 2026;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQC65_unf3_oTZTMRsTZao8GASFznUf0VzZ3nPFS1gszrn8?e=zL4pWX;
TE44;20001492600030;CS-2026-011;2026-02-26;;Eclairage public;CS-2026-011_Travaux de mise en sécurité des armoires EP;Comité;Comité du Jeudi 26 Février 2026;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQAjTFMO1UnxSI_z36y9CoM_AXNRUpHCITnVclJM0mJHkK0?e=sQ7sJP;règles financières
TE44;20001492600030;2022-73;2022-09-21;;Affaires générales;2022-73 Annexe 2 STATUTS;Comité;Comité du Mercredi 21 Septembre 2022;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EXpafp5PordNo2tAJuSx5MgBfYelwCKNNO-aXA3Sbkw2MA?e=aYvc41;
